Experiment_ID,Features,Analyzer,Loss,Penalty,Alpha,Class_Weight,Accuracy,Precision,Recall,F1,Spam_Precision,Spam_Recall,Spam_F1,TN,FP,FN,TP,Training_Time_ms,Total_Weights,Active_Weights,Zero_Weights,Sparsity_Pct,Model_File_Size_Bytes,ESP32_RAM_KB,Val_Accuracy,Val_Spam_F1
EXP01_512_log_l1_1e-4_bal,512,word,log_loss,l1,0.0001,balanced,71.41,72.18,71.41,71.58,64.08,72.48,68.03,2699,1122,760,2002,278.7,512,287,225,43.9,5205,2.0,70.86,67.81
EXP02_512_log_l1_1e-4_none,512,word,log_loss,l1,0.0001,None,72.19,71.95,72.19,71.93,68.78,61.73,65.06,3047,774,1057,1705,265.3,512,281,231,45.1,5205,2.0,71.74,65.17
EXP03_512_log_l2_1e-4_bal,512,word,log_loss,l2,0.0001,balanced,70.94,71.78,70.94,71.12,63.48,72.38,67.64,2671,1150,763,1999,170.5,512,512,0,0.0,5205,2.0,71.06,68.06
EXP04_512_log_l2_1e-4_none,512,word,log_loss,l2,0.0001,None,72.16,71.93,72.16,71.93,68.54,62.17,65.2,3033,788,1045,1717,177.0,512,512,0,0.0,5205,2.0,71.6,65.1
EXP05_512_log_enet_1e-4_bal,512,word,log_loss,elasticnet,0.0001,balanced,71.14,71.92,71.14,71.31,63.77,72.27,67.75,2687,1134,766,1996,268.8,512,364,148,28.9,5221,2.0,70.94,67.91
EXP06_512_log_l1_1e-5_bal,512,word,log_loss,l1,1e-05,balanced,70.76,71.47,70.76,70.92,63.5,71.29,67.17,2689,1132,793,1969,429.0,512,460,52,10.2,5205,2.0,70.86,67.87
EXP07_512_log_l1_1e-3_bal,512,word,log_loss,l1,0.001,balanced,69.48,69.53,69.48,69.5,63.49,64.16,63.82,2802,1019,990,1772,189.7,512,20,492,96.1,5205,2.0,68.37,62.47
EXP08_512_hinge_l1_1e-4_bal,512,word,hinge,l1,0.0001,balanced,71.73,72.12,71.73,71.85,65.14,70.17,67.56,2784,1037,824,1938,276.7,512,348,164,32.0,5213,2.0,71.65,67.84
EXP09_512_hinge_l2_1e-4_bal,512,word,hinge,l2,0.0001,balanced,71.62,71.9,71.62,71.72,65.3,69.08,67.14,2807,1014,854,1908,240.1,512,512,0,0.0,5213,2.0,71.39,67.3
EXP10_1024_log_l1_1e-4_bal,1024,word,log_loss,l1,0.0001,balanced,72.08,72.88,72.08,72.25,64.73,73.5,68.84,2715,1106,732,2030,278.1,1024,333,691,67.5,9301,4.0,71.3,68.21
EXP11_1024_log_l1_1e-4_none,1024,word,log_loss,l1,0.0001,None,72.99,72.78,72.99,72.76,69.76,62.89,66.15,3068,753,1025,1737,309.9,1024,332,692,67.6,9301,4.0,72.62,66.12
EXP12_1024_log_l2_1e-4_bal,1024,word,log_loss,l2,0.0001,balanced,72.41,73.23,72.41,72.58,65.04,74.04,69.25,2722,1099,717,2045,188.6,1024,1024,0,0.0,9301,4.0,72.61,69.74
EXP13_1024_log_enet_1e-4_bal,1024,word,log_loss,elasticnet,0.0001,balanced,71.94,72.75,71.94,72.11,64.57,73.39,68.7,2709,1112,735,2027,286.1,1024,559,465,45.4,9317,4.0,72.21,69.17
EXP14_1024_hinge_l1_1e-4_bal,1024,word,hinge,l1,0.0001,balanced,72.49,72.76,72.49,72.58,66.29,70.06,68.12,2837,984,827,1935,291.6,1024,512,512,50.0,9309,4.0,72.77,68.68
EXP15_1024_log_l1_1e-5_bal,1024,word,log_loss,l1,1e-05,balanced,72.47,73.24,72.47,72.64,65.2,73.75,69.22,2734,1087,725,2037,462.4,1024,872,152,14.8,9301,4.0,72.71,69.87
EXP16_2048_log_l1_1e-4_bal,2048,word,log_loss,l1,0.0001,balanced,73.05,73.63,73.05,73.19,66.15,73.24,69.52,2786,1035,739,2023,455.4,2048,335,1713,83.6,17493,8.0,72.01,68.64
EXP17_2048_log_l2_1e-4_bal,2048,word,log_loss,l2,0.0001,balanced,73.34,74.0,73.34,73.49,66.3,74.15,70.01,2780,1041,714,2048,185.0,2048,2048,0,0.0,17493,8.0,72.87,69.82
EXP18_2048_log_l1_1e-5_bal,2048,word,log_loss,l1,1e-05,balanced,74.02,74.45,74.02,74.14,67.56,73.28,70.3,2849,972,738,2024,467.1,2048,1559,489,23.9,17493,8.0,73.56,70.24
EXP19_2048_hinge_l1_1e-4_bal,2048,word,hinge,l1,0.0001,balanced,74.49,74.58,74.49,74.53,69.2,70.67,69.93,2952,869,810,1952,300.8,2048,563,1485,72.5,17501,8.0,73.73,69.46
EXP20_512_char_log_l1_1e-4_bal,512,char_wb,log_loss,l1,0.0001,balanced,70.58,71.75,70.58,70.77,62.67,73.86,67.81,2606,1215,722,2040,1290.2,512,288,224,43.8,5205,2.0,70.57,68.19
EXP21_512_char_log_l2_1e-4_bal,512,char_wb,log_loss,l2,0.0001,balanced,70.85,72.08,70.85,71.04,62.88,74.51,68.2,2606,1215,704,2058,386.1,512,512,0,0.0,5205,2.0,70.83,68.4
EXP22_1024_char_log_l1_1e-4_bal,1024,char_wb,log_loss,l1,0.0001,balanced,72.11,73.07,72.11,72.29,64.51,74.51,69.15,2689,1132,704,2058,1237.4,1024,395,629,61.4,9301,4.0,71.65,68.94
EXP23_1024_char_log_l2_1e-4_bal,1024,char_wb,log_loss,l2,0.0001,balanced,72.61,73.48,72.61,72.78,65.16,74.62,69.57,2719,1102,701,2061,397.6,1024,1024,0,0.0,9301,4.0,72.46,69.91
